index,timestamp,x,y,z,yaw,velocity
31,1.75279e+09,-61.0971,6.837,0.830713,1.42232,2.14566
32,1.75279e+09,-60.9461,7.91577,0.829833,1.42923,2.24183
33,1.75279e+09,-60.8149,8.98617,0.824811,1.44125,2.07566
34,1.75279e+09,-60.7073,9.95279,0.823792,1.45159,1.97329
35,1.75279e+09,-60.6069,10.9521,0.823837,1.4623,1.9192
36,1.75279e+09,-60.5172,11.949,0.826669,1.47259,2.04623
37,1.75279e+09,-60.4351,12.9806,0.830556,1.48318,2.3699
38,1.75279e+09,-60.3481,14.2576,0.833111,1.49642,2.69063
39,1.75279e+09,-60.2731,15.6341,0.828539,1.51107,2.67846
40,1.75279e+09,-60.186,16.9221,0.826007,1.50306,2.48116
41,1.75279e+09,-60.0971,18.1371,0.824204,1.50067,2.37667
42,1.75279e+09,-60.0114,19.2984,0.823962,1.49854,2.27069
43,1.75279e+09,-59.9304,20.3671,0.823852,1.49656,2.17781
44,1.75279e+09,-59.8444,21.4715,0.823926,1.49449,2.09914
45,1.75279e+09,-59.7538,22.609,0.831202,1.49324,2.50474
46,1.75279e+09,-59.6484,23.9081,0.832539,1.49135,2.77413
47,1.75279e+09,-59.5313,25.3135,0.826916,1.48878,2.62489
48,1.75279e+09,-59.4223,26.5844,0.825061,1.48647,2.54271
49,1.75279e+09,-59.3032,27.9014,0.831244,1.4819,2.83609
50,1.75279e+09,-59.1038,29.2334,0.83067,1.4292,2.54301
51,1.75279e+09,-58.6916,30.405,0.83342,1.29784,2.28185
52,1.75279e+09,-58.3386,31.3505,0.826223,1.2588,2.12799
53,1.75279e+09,-57.9913,32.3675,0.823556,1.24912,2.00949
54,1.75279e+09,-57.6614,33.3087,0.82427,1.24033,1.98191
55,1.75279e+09,-57.3361,34.2121,0.823667,1.23191,1.86087
56,1.75279e+09,-57.0156,35.0791,0.8251,1.22373,1.93516
57,1.75279e+09,-56.5944,36.1929,0.835464,1.21435,2.61495
58,1.75279e+09,-56.0538,37.4601,0.835866,1.1802,2.96853
59,1.75279e+09,-55.4024,38.7099,0.832811,1.10102,2.67922
60,1.75279e+09,-54.6743,39.6942,0.833427,0.988891,2.44515
61,1.75279e+09,-53.8925,40.5603,0.831673,0.890874,2.23218
62,1.75279e+09,-53.0756,41.306,0.828747,0.800619,2.03438
63,1.75279e+09,-52.3489,41.9036,0.825565,0.742515,1.90121
64,1.75279e+09,-51.602,42.4724,0.826487,0.68984,1.71364
65,1.75279e+09,-50.9256,42.881,0.826314,0.620349,1.58057
66,1.75279e+09,-50.2248,43.2449,0.825511,0.553639,1.4611
